,1_3m,2_3m,3_3m,6_3m,7_3m,8_3m,10_3m,12_3m,13_3m,14_4m,15_3m,16_4m
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NS4 marine group;uncultured Bacteroidetes bacterium,0.006152945,0.001145576,0.010883257,0.035274601,0.028645833,0.017325771,0.00698041,0.030735822,0.042288557,0.019208805,0.023549895,0.042840106
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Candidatus Planktomarina (DC5-80-3 lineage);uncultured marine bacterium,0.026516261,0.014804371,0.055172066,0.00960447,0,0.00846865,0.097725737,0.01261171,0.012126866,0.010175475,0.007239073,0.008714797
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseobacter clade NAC11-7 lineage;uncultured bacterium,0.012159391,0.031194924,5.04E-05,0.057801449,0,0.00769171,0,0.018708761,0.022310323,0.027307652,0.023183359,0.061003578
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Marinoscillum;uncultured marine bacterium,0.006738939,0.075343673,0.031188593,0.00803283,0.00640191,0.039779349,0.023643324,0.008185083,0.00971704,0.004776243,0.009071749,0.004219796
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Polaribacter;uncultured Flavobacteriaceae bacterium,0.003882215,0.030754318,0.025495037,0.003579848,0.006618924,0.032165333,0.012609773,0.014282135,0.009095149,0.00674904,0.027398516,0.003577653
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;uncultured Flavobacteriia bacterium,0.004834456,0.035689108,0.115382677,0,0.00141059,0.003496232,0.007655933,0.000250564,0.000699627,0.000415326,0.000824704,0.000366939
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseobacter clade NAC11-6 lineage;uncultured bacterium,0.00329622,0.001498061,0,0.029599232,0.002604167,0,0,0.014866784,0.016635572,0.032914547,0.027306882,0.034033575
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Candidatus Planktomarina (DC5-80-3 lineage);uncultured bacterium,0.009229417,0.004670427,0.028215851,0.002881341,0.071614583,0.002719291,0,0.006264094,0.000544154,0.004880075,0.002474113,0.004036327
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Formosa;uncultured Bacteroidetes bacterium,0.001904483,0.002908001,0.00841437,0.000698507,0.004123264,0.008313262,0.006530061,0.041510064,0.021688433,0.019104974,0.021717218,0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;uncultured;uncultured bacterium,0.00439496,0.038949595,0.022925379,0.001746267,0.006184896,0.036826975,0.0114839,0.002505638,0.00147699,0.001038314,0.005314762,0.002385102
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;NS9 marine group;uncultured bacterium;Other,0.010987401,0.012072612,0.010580944,0.004365668,0.01421441,0.031543781,0.003152443,0.006765222,0.0164801,0.005087738,0.013103638,0.004036327
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;uncultured Bacteroidetes bacterium,0.010694404,0.002731759,0.001209251,0.000174627,0.017361111,0.009245591,0.008781806,0.022884824,0.013059701,0.009137161,0.010904426,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SAR116 clade;uncultured SAR116 cluster alpha proteobacterium;Other,0.019557574,0.000793091,0.003829294,0.012311185,0.007269965,0.002486209,0.006304886,0.010189593,0.005130597,0.010071644,0.008155411,0.006880103
Bacteria;Proteobacteria;Alphaproteobacteria;OCS116 clade;uncultured PS1 clade bacterium;Other;Other,0.024904776,0.016478675,0.029677029,0.002008207,0.002821181,0.006060135,0.005404188,0.000584649,0,0.000103831,0.001832677,0.001284286
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NS2b marine group;uncultured marine bacterium,0,0,0.000906938,0.0163276,0,0.007147852,0.004278316,0.018792283,0.006063433,0.017132177,0.011270961,0.005595817
Bacteria;Proteobacteria;Alphaproteobacteria;OCS116 clade;uncultured bacterium;Other;Other,0.000512745,0.002291153,0.003476596,0.034838034,0.000542535,0.000155388,0,0.001503383,0.000777363,0.002907279,0.003482086,0.029079901
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NS4 marine group;uncultured marine bacterium,0.002710226,0.002203031,0.004837003,0.002881341,0.004231771,0.012819517,0.022067102,0.003006765,0.00676306,0.005503063,0.007055805,0.004770205
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Sulfitobacter;uncultured bacterium,0.065851157,0.001938668,0.000302313,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Tateyamaria;uncultured marine bacterium,0,0.002291153,0.006600494,0.001397014,0.011393229,0.009634061,0.012384598,0.006264094,0.003731343,0.002803447,0.008980115,0.000642143
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Fluviicola;uncultured bacterium,0.005420451,0.012601339,0.00221696,8.73E-05,0.002278646,0.016315749,0.017563612,0.000167043,0.00380908,0.000830651,0.003940255,0.000183469
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Ulvibacter;marine metagenome,0.008716672,0.009076489,0.00675165,0.00078582,0.001627604,0.006759382,0.013285296,0.003173808,0.003498134,0.002595784,0.005223128,0.000366939
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NS4 marine group;uncultured bacterium,7.32E-05,0,0,0.011350738,0.0078125,0.002719291,0.004953839,0.004176063,0.006218905,0.008410342,0.006231101,0.009907348
Bacteria;Bacteroidetes;Cytophagia;Order III;Unknown Family;Balneola;uncultured bacterium,0.000732493,0.00070497,0,8.73E-05,0.015842014,0.00691477,0.010583202,0.003006765,0.0164801,0.003322604,0.004031889,0
Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;Lentimonas;uncultured Verrucomicrobia bacterium,0.000146499,0,0.009069381,0.005588056,0,0.012586435,0.023192975,0.000334085,0,0,9.16E-05,0.005228878
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Formosa;uncultured marine bacterium,0.002856724,0.000793091,0.00055424,0.019121628,0,0.001709269,0,0.000334085,0.000544154,0,0.006506002,0.023575819
Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;marine group;uncultured Verrucomicrobiales bacterium HF0010_05E02,0,8.81E-05,0,0.02619401,0,0,0,0.000250564,7.77E-05,0.002907279,0.000274901,0.025318778
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;OM75 clade;uncultured bacterium,0,0,0,0.010041037,0.001953125,0.000699246,0.000675524,0.001169298,0.0008551,0.027826809,0.003207184,0.006880103
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;JL-ETNP-Y6;uncultured marine bacterium;Other,0.002710226,0.002555516,0.003073512,0.016240286,0.000868056,0.002330821,0.003602792,0.00200451,0.000777363,0.007995016,0.005406396,0.004953674
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SAR116 clade;uncultured bacterium;Other,0.00336947,0.001938668,0,0.000174627,0.000651042,7.77E-05,0.007205584,0,7.77E-05,0.000622988,9.16E-05,0.036143473
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);Marinimicrobia bacterium JGI OTU-2;Other,0,0,5.04E-05,0.016152973,0.000434028,0.000155388,0.000675524,0.001085776,0.000466418,0.002699616,0.001741043,0.023300615
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;uncultured bacterium ARCTIC26_B_07,0,0,0,0.008993277,0,0.006992464,0,0.003591414,0.006607587,0,0.003940255,0.016603981
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Thiothrix;uncultured bacterium,7.32E-05,8.81E-05,0,0.021129835,0.001193576,0.000699246,0,0.000501128,0.000699627,0.001142145,0.00311555,0.017337859
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Owenweeksia;marine metagenome,7.32E-05,0.003260486,0,0.006373876,0.001085069,0.00326315,0.000450349,0.002338595,0.001865672,0.013809573,0.004856593,0.004770205
Bacteria;Bacteroidetes;Cytophagia;Order III;Unknown Family;Balneola;uncultured Bacteroidetes bacterium,0,0,0,0,0,0.011809494,0.000225175,0.001753946,0.024564677,0.003114941,0,0
Bacteria;Verrucomicrobia;Opitutae;MB11C04 marine group;uncultured Verrucomicrobia bacterium;Other;Other,0.003442719,0.000264364,0.000755782,0.007683576,0.001193576,0.003418538,0.007655933,0.00200451,0.003653607,0.005399232,0.001649409,0.004128062
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;uncultured;uncultured marine bacterium,0.001025491,0.001498061,0,0.004889549,0,0.003807008,0,0.006514658,0.004508706,0.004257086,0.007239073,0.005412347
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OM1 clade;Candidatus Actinomarina;uncultured actinobacterium,0.000439496,0,0,0.007858203,0.000325521,0.001320799,0.002702094,0.002171553,0.00380908,0.006333714,0.00549803,0.008531327
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;NS9 marine group;uncultured marine bacterium;Other,0.001318488,0.000440606,0.000302313,0.019296254,0.000759549,0.001553881,0.000675524,0.000334085,0.000155473,0.002180459,0.000549803,0.011283368
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;NS11-12 marine group;unidentified marine bacterioplankton;Other,0,0,0,8.73E-05,0.003363715,0.005360889,0.006530061,0.005512403,0.011038557,0.002076628,0.003848621,0.000183469
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;uncultured;uncultured Acidimicrobidae bacterium,0.010840902,0.003260486,0.009472464,0.000436567,0.001193576,0.00365162,0.005179014,0.001085776,0.000155473,0.001453639,0.000641437,0.000366939
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Polaribacter;uncultured bacterium,0.003882215,0.004494184,0,0.00104776,0.005425347,0.011032554,0,0.004092542,0.001243781,0.000622988,0.002290846,0.001467755
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Winogradskyella;uncultured Bacteroidetes bacterium,0.010694404,0.013746916,0.004232378,0,0.000434028,0.002952374,0.002026571,0.000918734,0.000388682,0,0,0
Bacteria;Verrucomicrobia;Opitutae;MB11C04 marine group;uncultured bacterium;Other;Other,0.002050982,0.000176243,0.002166574,0.004627608,0.000651042,0.006992464,0.012834947,0.000584649,0.001321517,0.000934482,0.000458169,0.002385102
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;NS10 marine group;uncultured bacterium,0,0,0,0.014057452,0,0,0,8.35E-05,0.000155473,0.000415326,0.000549803,0.019722961
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;uncultured bacterium,0,0,0.000100771,0.007683576,0.002061632,0.000233082,0.000675524,0.001753946,0.00824005,0.006852871,0.002565747,0.002201633
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;uncultured;Ilumatobacter nonamiensis YM16-303,0.009229417,0.002203031,0.013301758,0,0.000108507,0.002719291,0.004278316,0,0,0,9.16E-05,9.17E-05
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;uncultured Flavobacteriaceae bacterium,0,0.000352485,0,0.008207457,0.000217014,0.006448605,0,0.001419861,0.002643035,0,0.003573719,0.008623062
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Polaribacter;uncultured Bacteroidetes bacterium,0.000805743,0,0.013049831,0.00052388,0,0.003185456,0.011033551,0,0.001399254,0,0,0.001100816
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SAR116 clade;Candidatus Puniceispirillum;uncultured bacterium,0.001318488,0,0,0.000436567,0.005099826,0.000310776,0.002251745,0.003424372,0.010105721,0.004983906,0.002474113,0.000642143
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Owenweeksia;uncultured Flavobacterium sp.,7.32E-05,0.000881213,0.004433919,8.73E-05,0.000325521,0.003496232,0.018013961,0.000835213,0,0.00072682,0.000916338,0.000458674
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Formosa;uncultured bacterium,0.000952241,0.001057455,0,0.004103728,0.006618924,0.002563903,0.005629363,0.001085776,0.000233209,0.001142145,0.002015944,0.004219796
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;uncultured marine bacterium,0.001171989,0,0,0.001833581,0.003472222,0,0,0.001252819,0.005830224,0.00830651,0.004764959,0.001284286
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;NS7 marine group;uncultured Cryomorphaceae bacterium;Other,0,0,0,0.004714922,0,0,0,0,0,0,0.000274901,0.022566737
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;uncultured;uncultured Flavobacteriia bacterium,0.000659244,0.001057455,0.003375825,0,0,0.007536322,0.009682504,0.00133634,0.001554726,0.000934482,0.000824704,0.000550408
Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;Thiobacillus;uncultured bacterium,0.003442719,0.000793091,0.000453469,0.001833581,0.000542535,0.001243105,0,0.001753946,0.005208333,0.004360918,0.001282874,0.003944592
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NS2b marine group;uncultured bacterium,0,0,0,0,0.01030816,0,0,0,0.003731343,0,0,0.008623062
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NS4 marine group;uncultured Flavobacteriia bacterium,0,0,0,0.007596263,0,0.001243105,0,0.000250564,0.006996269,0.004776243,0.001007972,9.17E-05
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured;unidentified marine bacterioplankton,0,0,0,0.00908059,0,0.000466164,0.001351047,0,0,0,0,0.011008164
Bacteria;Proteobacteria;SC3-20;uncultured bacterium;Other;Other;Other,0.000366247,8.81E-05,0.001360407,0.000349253,0.000976563,0.003418538,0.004953839,0.002171553,0.004120025,0.003426435,0.000183268,9.17E-05
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SAR116 clade;uncultured alpha proteobacterium;Other,0.004101963,0.000352485,0,0,0.001302083,0.000155388,0.000675524,0.00200451,0.00295398,0.002907279,0.003207184,0.003394184
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;OM75 clade;uncultured alpha proteobacterium,7.32E-05,0,0,0.00855671,0,0,0,0.001670425,0,0,0.002199212,0.008072654
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;uncultured;uncultured Saprospiraceae bacterium,0.000659244,0.00211491,0.001561949,8.73E-05,0.000976563,0.003418538,0.004728665,0.001837468,0.000932836,0.001038314,0.002290846,0.000183469
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Planktotalea;uncultured bacterium,0.010254908,0.002643638,0.003627752,0,0,0.000466164,0.001801396,0.000167043,0.000310945,0,0,0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NS4 marine group;uncultured Flavobacteriaceae bacterium,0.00446821,0.005904124,0,0,0,0.00365162,0.004728665,0,0.000388682,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;SB1-18;uncultured bacterium;Other;Other,0.010914152,0.000528728,0.002015418,0.000349253,0.000217014,0.00038847,0.000225175,0.000167043,0.000155473,0.000519157,0.001557775,0.000642143
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Reichenbachiella;uncultured bacterium,0.000585995,0.000264364,0.000302313,0.005849996,0,7.77E-05,0,0.000835213,0.000310945,0.001557471,0.001374507,0.005595817
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;uncultured;uncultured Bacteroidetes bacterium,0,0,0,0.005413429,0.000108507,0.000155388,0,0.000334085,0.000310945,0.001038314,0.001099606,0.007155307
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Sufflavibacter;uncultured bacterium,0,0,0,0.001397014,0,0,0.000225175,0,0,0,0,0.01385194
Bacteria;Actinobacteria;Actinobacteria;PeM15;unidentified marine bacterioplankton;Other;Other,0.002343979,0.002467395,0.003829294,0,0.000542535,0.001165411,0.003152443,8.35E-05,0.001632463,0,9.16E-05,0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;SAR92 clade;uncultured bacterium,0.000146499,0.000440606,0.002166574,0.00026194,0.007921007,0.000543858,0.001576222,0.000835213,0.000388682,0.000103831,0.000458169,0.000458674
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;ZD0405;uncultured marine bacterium;Other,0,0,0,8.73E-05,0,0.000310776,0,8.35E-05,7.77E-05,0,0.00119124,0.012842858
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodobiaceae;Rhodobium;uncultured alpha proteobacterium,0.000439496,0.00140994,0.001965032,0.001222387,0.000868056,0.001553881,0.002026571,0.00133634,0.001554726,0.000519157,0.000458169,0.000642143
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Owenweeksia;uncultured Bacteroidetes bacterium,0.00109874,8.81E-05,0,0.004802235,0,0,0,0.00066817,0.000155473,0.00072682,0.000274901,0.005320613
Bacteria;Proteobacteria;Elev-16S-509;uncultured bacterium;Other;Other;Other,0,0,0,0.001571641,0.000217014,0,0,0.000334085,0,0.004464749,0.001741043,0.004770205
Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;OM43 clade;uncultured bacterium,0,8.81E-05,0.000100771,0.000611194,0.001627604,7.77E-05,0.001125873,0.000167043,0.001010572,0.000311494,9.16E-05,0.007522246
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;uncultured Bacteroidetes/Chlorobi group bacterium,0,0,0,0,0.001193576,0.000310776,0,0.004343105,0.003575871,0,0.002749015,0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;BAL58 marine group;uncultured bacterium,0.000585995,0,5.04E-05,0,0.000325521,0.000155388,0.000675524,0.001503383,0.005674751,0.001557471,0.001466141,0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia-Shigella;uncultured bacterium,0,0,0,0,0,0,0,0,0.011738184,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseobacter clade NAC1-2 lineage;uncultured organism,0,0,0,0.004976862,0.000542535,0,0,0.000417606,0,0.000934482,0.000916338,0.003577653
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);uncultured bacterium MB13C05;Other,0,0,0,0.005849996,0,0,0,8.35E-05,0,0,0,0.005228878
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Loktanella;uncultured bacterium,0.000512745,0.002026789,0.00398045,0,0.000976563,0.001010023,0.001351047,0.000167043,0.000388682,0.000207663,0.000458169,0
Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;marine group;uncultured bacterium,0,0,0,0.005937309,0.00141059,0,0,8.35E-05,0,0.000934482,0.000549803,0.001742959
Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Surface 1;uncultured Candidatus Pelagibacter sp.;Other,0,0,0,0,0.010091146,0,0,0.000167043,0,0,0,0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Owenweeksia;uncultured Flavobacteriales bacterium,0,0,0,0,0,0,0,0,0.007540423,0.001038314,0,0.001651225
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Defluviicoccus;uncultured bacterium,0,0,0,0.004016415,0,0,0,0.000250564,7.77E-05,0.001245977,0.001099606,0.002752041
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;NS10 marine group;uncultured Bacteroidetes/Chlorobi group bacterium,0,0,0,0,0.000976563,0.000155388,0,0.000751691,0.000155473,0.005918389,0.001099606,0.000366939
Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;OM43 clade;uncultured marine bacterium ZD0412,0,0,0,0.005937309,0,0,0,0,0,0,0.000183268,0.002752041
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;FamilyI;Synechococcus;uncultured cyanobacterium,0,0,0,0,0,0,0,0,0,0,0,0.008806532
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;NS9 marine group;uncultured Bacteroidetes bacterium;Other,7.32E-05,8.81E-05,0.001763491,8.73E-05,0.000868056,0.003030068,0.000675524,0,7.77E-05,0.001765133,9.16E-05,0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;uncultured bacterium,0.000732493,0,0.000655011,0,0,0.006526299,0.000225175,8.35E-05,0,0.000207663,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SAR116 clade;unidentified marine bacterioplankton;Other,0.000146499,0,0,0,0.001736111,0.000466164,0,0.00066817,0.003031716,0.001349808,0.000549803,0
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);uncultured marine bacterium;Other,0.000219748,0.000176243,0,0.000436567,0.000542535,0.001087717,0.000900698,0.000334085,7.77E-05,0.001868965,0.001099606,0.001192551
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SHWN-night2;uncultured alpha proteobacterium;Other,7.32E-05,0,0,0.00104776,0.000325521,0.00038847,0,8.35E-05,0.003264925,0.001868965,0.000733071,9.17E-05
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NS4 marine group;unidentified marine bacterioplankton,0,0,0,0,0,0.001398493,0,0.004760712,0.001088308,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Surface 1;uncultured marine bacterium;Other,7.32E-05,0,0,0.004365668,0,0,0,0,0.000699627,0,0,0.001926429
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured;uncultured marine bacterium,0,0,0,0,0.001085069,0,0,0.00133634,0.004275498,0,0.000183268,0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;uncultured marine bacterium,0,0,0,0,0,0,0.006755235,0,0,0,0,0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;uncultured;marine metagenome,0.000439496,0.00140994,0.001360407,0,0,0.001942351,0,0.000167043,0,0.000830651,0.000458169,0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Fluviicola;marine metagenome,0,0,0,0.000611194,0,0.000310776,0.002702094,0.000501128,0,0.000415326,0,0.002018163
Bacteria;Proteobacteria;SPOTSOCT00m83;uncultured bacterium;Other;Other;Other,0,0,0,0.002182834,0.000434028,0.000466164,0,0.000167043,0.000155473,0.000934482,0.000458169,0.001651225
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;OM60(NOR5) clade;uncultured gamma proteobacterium,7.32E-05,0,0.001058094,0,0.004448785,7.77E-05,0,0.000167043,0.000155473,0,0.000366535,9.17E-05
Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Surface 1;uncultured SAR11 cluster alpha proteobacterium;Other,0,0,0,0.005675369,0,0,0,0,0,0.00072682,0,0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Crocinitomix;uncultured Bacteroidetes/Chlorobi group bacterium,0.001318488,0,0.000151156,0.001397014,0,0.000155388,0.000225175,0.000417606,0.00147699,0,0.000274901,0.000917347
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Lentibacter;uncultured alpha proteobacterium,0,0,0,0,0,0,0.005854537,0,0,0,0,0
Bacteria;Actinobacteria;Actinobacteria;PeM15;uncultured Actinomycetales bacterium;Other;Other,0,0,0,0.001222387,0,0.000466164,0,0.000417606,0.000466418,0.001349808,0.001374507,0.000550408
